Date of download data creation,As of 2016.05.14,Number of data,9900
EDINET Code,Type of Submitter,Listed company / Unlisted company,Consolidated / NonConsolidated,Capital stock,account closing date,Submitter Name,Submitter Name（alphabetic）,Submitter Name（phonetic）,Province,Submitter's industry,Securities Identification Code
"E02535","内国法人・組合","Listed company","Consolidated","1321"," 3.31","佐藤商事株式会社","SATO SHO-JI CORPORATION","サトウショウジカブシキガイシャ","千代田区丸の内一丁目８番１号","Wholesale Trade","80650"
"E02536","内国法人・組合","Unlisted company","Consolidated","3000"," 3.31","日本出版販売株式会社","","ニホンシュッパンハンバイカブシキガイシャ","千代田区神田駿河台四丁目３番地","Wholesale Trade",""
"E02537","内国法人・組合","Unlisted company","Consolidated","265"," 9.30","株式会社日教販","","カブシキガイシャニッキョウハン","文京区後楽１丁目４番２５号","Wholesale Trade",""
"E02538","内国法人・組合","Unlisted company","Consolidated","4500"," 3.31","株式会社トーハン","TOHAN CORPORATION","カブシキガイシャトーハン","新宿区東五軒町６番２４号","Wholesale Trade",""
"E02541","内国法人・組合","Listed company","Consolidated","2376"," 3.31","東都水産株式会社","TOHTO SUISAN CO.,LTD.","トウトスイサンカブシキガイシャ","中央区築地５丁目２番１号","Wholesale Trade","80380"
"E02542","内国法人・組合","Listed company","Consolidated","1980"," 3.31","神栄株式会社","SHINYEI KAISHA","シンエイカブシキガイシャ","神戸市中央区京町７７－１","Wholesale Trade","30040"
"E02543","内国法人・組合","Listed company","Consolidated","35123","12.31","東燃ゼネラル石油株式会社","TonenGeneral Sekiyu K.K.","トウネンゼネラルセキユカブシキカイシャ","港区港南一丁目８番１５号","Oil & Coal Products","50120"
"E02544","内国法人・組合","Listed company","Consolidated","13752"," 3.31","日産東京販売ホールディングス株式会社","NISSAN TOKYO SALES HOLDINGS CO., LTD.","ニッサントウキョウハンバイホールディングスカブシキガイシャ","品川区西五反田四丁目３２番１号","Retail Trade","82910"
"E02547","内国法人・組合","Listed company","Consolidated","1854"," 3.31","ラサ商事株式会社","Rasa Corporation","ラサショウジカブシキガイシャ","中央区日本橋蛎殻町一丁目１１番５号ＲＡＳＡ日本橋ビルディング","Wholesale Trade","30230"
"E02548","内国法人・組合","Listed company","Consolidated","1006"," 9.30","三洋貿易株式会社","Sanyo Trading Co., Ltd.","サンヨウボウエキカブシキガイシャ","千代田区神田錦町二丁目１１番地","Wholesale Trade","31760"
"E02549","内国法人・組合","Listed company","Consolidated","7186"," 3.31","株式会社ＧＳＩクレオス","GSI Creos Corporation","カブシキガイシャジーエスアイクレオス","千代田区九段南二丁目３番１号","Wholesale Trade","81010"
"E02550","内国法人・組合（有価証券報告書等の提出義務者以外）","","","12335","","住金物産株式会社","","スミキンブッサンカブシキガイシャ","大阪市西区新町一丁目１０番９号","Others",""
"E02551","内国法人・組合","Unlisted company","Consolidated","200"," 3.31","東工コーセン株式会社","TOKOKOSEN  CORP.","トウコウコーセンカブシキガイシャ","千代田区四番町４番２","Wholesale Trade",""
"E02552","内国法人・組合","Listed company","Consolidated","9699"," 3.31","長瀬産業株式会社","NAGASE & CO., LTD.","ナガセサンギョウカブシキガイシャ","大阪市西区新町一丁目１番１７号","Wholesale Trade","80120"
"E02553","内国法人・組合","Listed company","Consolidated","9128"," 2.the end of the month","岡谷鋼機株式会社","OKAYA&CO.,LTD.","オカヤコウキカブシキガイシャ","名古屋市中区栄二丁目４番１８号","Wholesale Trade","74850"
"E02554","内国法人・組合","Listed company","Consolidated","45651"," 3.31","阪和興業株式会社","HANWA CO.,LTD.","ハンワコウギョウカブシキガイシャ","大阪市中央区伏見町四丁目３番９号","Wholesale Trade","80780"
"E02556","内国法人・組合","Unlisted company","Consolidated","500"," 2.the end of the month","小泉株式会社","koizumi co.,ltd","コイズミカブシキカイシャ","大阪市中央区備後町３丁目１番８号","Wholesale Trade",""
"E02558","内国法人・組合","Listed company","Consolidated","10630"," 3.31","三菱食品株式会社","Mitsubishi Shokuhin Co., Ltd.","ミツビシショクヒンカブシキガイシャ","大田区平和島六丁目１番１号","Wholesale Trade","74510"
"E02560","内国法人・組合","Listed company","Consolidated","7909"," 3.31","株式会社山善","YAMAZEN CORPORATION","カブシキガイシャヤマゼン","大阪市西区立売堀二丁目３番１６号","Wholesale Trade","80510"
"E02561","内国法人・組合","Listed company","Consolidated","2310"," 3.31","株式会社カノークス","CANOX CORPORATION","カブシキガイシャカノークス","名古屋市西区那古野一丁目１番１２号","Wholesale Trade","80760"
"E02562","内国法人・組合","Unlisted company","Consolidated","3228"," 3.31","新生紙パルプ商事株式会社","SHINSEI PULP&PAPER COMPANY LIMITED","シンセイカミパルプショウジカブシキガイシャ","千代田区神田錦町１丁目８番地","Wholesale Trade",""
"E02563","内国法人・組合","Listed company","Consolidated","4024"," 3.31","明和産業株式会社","Meiwa Corporation","メイワサンギョウカブシキガイシャ","千代田区丸の内三丁目３番１号","Wholesale Trade","81030"
"E02564","内国法人・組合","Listed company","Consolidated","8021","12.31","昭光通商株式会社","SHOKO CO., LTD","ショウコウツウショウカブシキガイシャ","港区芝公園","Wholesale Trade","80900"
"E02565","内国法人・組合","Unlisted company","Consolidated","350"," 3.31","三国商事株式会社","MIKUNI SHOJI CO.,LTD.","ミクニショウジカブシキガイシャ","港区浜松町一丁目１０番７号","Wholesale Trade","80620"
"E02566","内国法人・組合","Listed company","Consolidated","2995"," 3.31","中央魚類株式会社","Chuo Gyorui Co., Ltd.","チュウオウギョルイカブシキガイシャ","中央区築地五丁目２番１号","Wholesale Trade","80300"
"E02567","内国法人・組合","Listed company","Consolidated","20096"," 3.31","岩谷産業株式会社","IWATANI CORPORATION","イワタニサンギョウカブシキガイシャ","大阪市中央区本町三丁目６番４号","Wholesale Trade","80880"
"E02569","内国法人・組合","Listed company","Consolidated","1520"," 3.31","株式会社弘電社","The Kodensha,Co.,Ltd.","カブシキガイシャコウデンシャ","中央区銀座５丁目１１番１０号","Construction","19480"
"E02570","内国法人・組合","Listed company","Consolidated","2712","10.31","小林産業株式会社","KOBAYASHI METALS LIMITED","コバヤシサンギョウカブシキガイシャ","大阪市西区南堀江二丁目７番４号","Wholesale Trade","80770"
"E02571","内国法人・組合","Listed company","Consolidated","2037"," 3.31","築地魚市場株式会社","TSUKIJI UOICHIBA COMPANY,LIMITED","ツキジウオイチバカブシキガイシャ","中央区築地五丁目２番１号","Wholesale Trade","80390"
"E02572","内国法人・組合","Listed company","Consolidated","2945"," 3.31","椿本興業株式会社","TSUBAKIMOTO KOGYO CO.,LTD.","ツバキモトコウギョウカブシキカイシャ","大阪市北区梅田３丁目３番２０号","Wholesale Trade","80520"
"E02574","内国法人・組合","Listed company","Consolidated","9899"," 3.31","スターゼン株式会社","Starzen Company Limited","スターゼンカブシキガイシャ","港区港南二丁目５番７号","Wholesale Trade","80430"
"E02575","内国法人・組合","Listed company","Consolidated","2628"," 3.31","大都魚類株式会社","DAITO GYORUI CO.,LTD.","ダイトギョルイカブシキガイシャ","中央区築地五丁目２番１号","Wholesale Trade","80440"
"E02576","内国法人・組合","Listed company","Consolidated","11065"," 9.30","横浜冷凍株式会社","Yokohama Reito Co.,Ltd.","ヨコハマレイトウカブシキカイシャ","横浜市神奈川区守屋町一丁目１番地７","Wholesale Trade","28740"
"E02578","内国法人・組合","Listed company","Consolidated","5105"," 3.31","第一実業株式会社","DAIICHI JITSUGYO CO., LTD.","ダイイチジツギョウカブシキガイシャ","千代田区二番町１１番１９号（興和二番町ビル）","Wholesale Trade","80590"
"E02579","内国法人・組合","Listed company","Consolidated","2354"," 3.31","ナラサキ産業株式会社","","ナラサキサンギョウカブシキカイシャ","札幌市中央区北一条西七丁目１番地（プレスト１・７）","Wholesale Trade","80850"
"E02580","内国法人・組合","Listed company","Consolidated","5576"," 3.31","株式会社カナデン","KANADEN CORPORATION","カブシキガイシャカナデン","港区新橋四丁目２２番４号","Wholesale Trade","80810"
"E02584","内国法人・組合","Listed company","Consolidated","22069"," 3.31","すてきナイスグループ株式会社","Nice Holdings, Inc.","ステキナイスグループカブシキガイシャ","横浜市鶴見区鶴見中央四丁目３３番１号","Wholesale Trade","80890"
"E02585","内国法人・組合","Listed company","Consolidated","2572","11.30","イワキ株式会社","IWAKI & CO.,LTD.","イワキカブシキガイシャ","中央区日本橋本町四丁目８番２号","Wholesale Trade","80950"
"E02586","内国法人・組合","Unlisted company","Consolidated","6975"," 9.30","株式会社ヤナセ","YANASE AND COMPANY,LIMITED","カブシキガイシャヤナセ","港区芝浦一丁目６番３８号","Retail Trade",""
"E02587","内国法人・組合","Listed company","Consolidated","430"," 3.31","日本出版貿易株式会社","JAPAN PUBLICATIONS TRADING CO., LTD.","ニホンシュッパンボウエキカブシキカイシャ","千代田区猿楽町一丁目２番１号","Wholesale Trade","80720"
"E02588","内国法人・組合","Listed company","Consolidated","2829"," 3.31","株式会社ツカモトコーポレーション","TSUKAMOTO CORPORATION CO., LTD.","カブシキガイシャツカモトコーポレーション","中央区日本橋本町１丁目６番５号","Wholesale Trade","80250"
"E02590","内国法人・組合","Unlisted company","Consolidated","600"," 3.31","ＫＩＳＣＯ株式会社","KISCO LTD.","キスコカブシキガイシャ","大阪市中央区伏見町３丁目３番７号","Wholesale Trade",""
"E02595","内国法人・組合（有価証券報告書等の提出義務者以外）","","","500","","南国殖産株式会社","","ナンゴクショクサンカブシキガイシャ","鹿児島市中央町１８番地１","Others",""
"E02596","内国法人・組合","Unlisted company","Consolidated","1575"," 3.31","小泉産業株式会社","Koizumi Sangyo Corporation","コイズミサンギョウカブシキガイシャ","大阪市中央区備後町３丁目３番１１号","Wholesale Trade",""
"E02597","内国法人・組合","Unlisted company","Consolidated","478"," 3.31","東京青果株式会社","TOKYO SEIKA CO.,LTD.","トウキョウセイカカブシキガイシャ","大田区東海３丁目２番１号","Wholesale Trade",""
"E02598","内国法人・組合","Unlisted company","NonConsolidated","460"," 3.31","株式会社　新潟ケンベイ","TheNiigataKenbei-Co.,Ltd.","カブシキガイシャニイガタケンベイ","新潟市中央区上大川前通９番町１２６５番地","Wholesale Trade",""
"E02599","内国法人・組合（有価証券報告書等の提出義務者以外）","","","","","大同興業株式会社","","ダイドウコウギョウカブシキガイシャ","名古屋市東区東桜一丁目１番１０号","Others",""
"E02602","内国法人・組合","Listed company","Consolidated","5008"," 3.31","三谷商事株式会社","MITANI CORPORATIN","ミタニショウジカブシキガイシャ","福井市豊島１－３－１","Wholesale Trade","80660"
"E02604","内国法人・組合","Unlisted company","Consolidated","2677"," 3.31","株式会社ライオン事務器","LION OFFICE PRODUCTS CORP.","カブシキガイシャライオンジムキ","東大阪市長田中３丁目５番４４号","Wholesale Trade",""
"E02608","内国法人・組合","Listed company","Consolidated","10649"," 3.31","東邦ホールディングス株式会社","TOHO HOLDINGS CO.,LTD.","トウホウホールディングス","世田谷区代沢五丁目２番１号","Wholesale Trade","81290"
"E02610","内国法人・組合","Listed company","Consolidated","417"," 3.31","株式会社クワザワ","KUWAZAWA Trading Co.,Ltd.","カブシキガイシャクワザワ","札幌市白石区中央２条７丁目１番１号","Wholesale Trade","81040"
"E02611","内国法人・組合","Listed company","Consolidated","5483"," 3.31","日本ユニシス株式会社","Nihon Unisys , Ltd .","ニホンユニシス　カブシキガイシャ","江東区豊洲一丁目１番１号","Information & Communication","80560"
"E02612","内国法人・組合","Listed company","Consolidated","1026"," 3.31","ヤマエ久野株式会社","YAMAE HISANO CO., LTD.","ヤマエヒサノカブシキガイシャ","福岡市博多区博多駅東２丁目１３番３４号","Wholesale Trade","81080"
"E02613","内国法人・組合","Unlisted company","Consolidated","200"," 3.31","千代田工販株式会社","CHIYODA KOHAN CO.,LTD.","チヨダコウハンカブシキカイシャ","中央区銀座七丁目１３番８号","Wholesale Trade",""
"E02615","内国法人・組合","Listed company","Consolidated","1541"," 3.31","横浜丸魚株式会社","Yokohama Maruuo Co., Ltd","ヨコハママルウオ　カブシキガイシャ","横浜市神奈川区山内町１番地中央市場内","Wholesale Trade","80450"
"E02616","内国法人・組合","Listed company","Consolidated","3626"," 3.31","丸藤シートパイル株式会社","MARUFUJI SHEET PILING CO., LTD.","マルフジシートパイルカブシキガイシャ","中央区日本橋本町３丁目７番２号","Wholesale Trade","80460"
"E02617","内国法人・組合","Listed company","Consolidated","7938"," 3.31","株式会社日立ハイテクノロジーズ","Hitachi High-Technologies Corporation","カブシキガイシャヒタチハイテクノロジーズ","港区西新橋一丁目２４番１４号","Wholesale Trade","80360"
"E02618","内国法人・組合","Listed company","Consolidated","13821"," 2.the end of the month","株式会社ワキタ","Wakita & Co.,LTD.","カブシキガイシャワキタ","大阪市西区江戸堀一丁目３番２０号","Wholesale Trade","81250"
"E02621","内国法人・組合","Listed company","Consolidated","2486"," 2.the end of the month","株式会社ヨンドシーホールディングス","YONDOSHI HOLDINGS INC.","カブシキガイシャヨンドシーホールディングス","品川区上大崎二丁目１９番１０号","Wholesale Trade","80080"
"E02622","内国法人・組合","Listed company","Consolidated","22187"," 2.the end of the month","ユニーグループ・ホールディングス株式会社","UNY Group Holdings Co., Ltd.","ユニーグループホールディングスカブシキガイシャ","稲沢市天池五反田町１番地","Retail Trade","82700"
"E02624","内国法人・組合","Unlisted company","Consolidated","600"," 3.31","山崎金属産業株式会社","YAMAKIN(JAPAN) Co.,Ltd.","ヤマザキキンゾクサンギョウカブシキガイシャ","千代田区岩本町１－８－１１","Wholesale Trade",""
"E02625","内国法人・組合","Unlisted company","Consolidated","5000"," 3.31","東京貿易ホールディングス株式会社","TOKYO BOEKI HOLDINGS CORPORATION","トウキョウボウエキホールディングスカブシキガイシャ","中央区八丁堀２丁目１３番８号","Wholesale Trade",""
"E02627","内国法人・組合","Listed company","Consolidated","1975"," 3.31","堀田丸正株式会社","MARUSHOHOTTA CO.,LTD.","ホッタマルショウカブシキガイシャ","中央区日本橋室町４丁目１番１１号","Wholesale Trade","81050"
"E02628","内国法人・組合","Listed company","Consolidated","903"," 3.31","株式会社キムラタン","KIMURATAN CORPORATION","カブシキガイシャキムラタン","神戸市中央区京町７２番地新クレセントビル","Textiles & Apparels","81070"
"E02629","内国法人・組合","Listed company","Consolidated","2040"," 3.31","日発販売株式会社","NHK SALES CO.,LTD.","ニッパツハンバイカブシキガイシャ","江東区枝川二丁目１３番１号","Wholesale Trade",""
"E02632","内国法人・組合","Listed company","Consolidated","22398"," 3.31","株式会社メディパルホールディングス","MEDIPAL HOLDINGS CORPORATION","カブシキガイシャメディパルホールディングス","中央区八重洲二丁目７番１５号","Wholesale Trade","74590"
"E02635","内国法人・組合","Listed company","Consolidated","3762"," 3.31","ソーダニッカ株式会社","SODA NIKKA CO., LTD.","ソーダニッカカブシキガイシャ","中央区日本橋三丁目６番２号","Wholesale Trade","81580"
"E02638","内国法人・組合","Listed company","Consolidated","26734"," 2.the end of the month","株式会社東京スタイル","TOKYO STYLE CO.,LTD","カブシキガイシャトウキョウスタイル","千代田区麹町五丁目７番地１","Wholesale Trade",""
"E02639","内国法人・組合","Listed company","Consolidated","3339"," 3.31","ムーンバット株式会社","MOONBAT Co., Ltd.","ムーンバットカブシキガイシャ","京都市下京区室町通四条南入鶏鉾町４９３番地","Wholesale Trade","81150"
"E02640","内国法人・組合","Listed company","Consolidated","12335"," 3.31","日鉄住金物産株式会社","NIPPON STEEL & SUMIKIN BUSSAN CORPORATION","ニッテツスミキンブッサンカブシキガイシャ","港区赤坂八丁目５番２７号","Wholesale Trade","98100"
"E02642","内国法人・組合","Listed company","Consolidated","1001"," 3.31","中央自動車工業株式会社","CENTRAL AUTOMOTIVE PRODUCTS LTD.","チュウオウジドウシャコウギョウカブシキガイシャ","大阪市北区中之島四丁目２番３０号","Wholesale Trade","81170"
"E02643","内国法人・組合","Listed company","Consolidated","19878"," 3.31","伊藤忠エネクス株式会社","ITOCHU ENEX CO.,LTD.","イトウチュウエネクスカブシキガイシャ","港区虎ノ門二丁目１０番１号","Wholesale Trade","81330"
"E02644","内国法人・組合","Listed company","Consolidated","73303","12.31","キヤノンマーケティングジャパン株式会社","Canon Marketing Japan Inc.","キヤノンマーケティングジャパンカブシキガイシャ","港区港南２丁目１６番６号","Wholesale Trade","80600"
"E02645","内国法人・組合","Listed company","Consolidated","2346"," 3.31","株式会社　キング","KING CO.,Ltd.","カブシキガイシャ　キング","京都市下京区東塩小路高倉町２番の１","Textiles & Apparels","81180"
"E02646","内国法人・組合","Listed company","NonConsolidated","1450"," 3.31","中部水産株式会社","CHUBU SUISAN CO.,LTD.","チュウブスイサンカブシキガイシャ","名古屋市熱田区川並町２番２２号","Wholesale Trade","81450"
"E02647","内国法人・組合","Listed company","Consolidated","1000"," 3.31","株式会社三栄コーポレーション","SANYEI CORPORATION","カブシキガイシャサンエイコーポレーション","台東区寿４丁目１番２号","Wholesale Trade","81190"
"E02648","内国法人・組合","Unlisted company","Consolidated","2486"," 3.31","株式会社大木","","カブシキガイシャオオキ","文京区音羽二丁目１番４号","Wholesale Trade","81200"
"E02650","内国法人・組合","Listed company","Consolidated","1720"," 3.31","川辺株式会社","T.KAWABE & CO., LTD.","カワベカブシキガイシャ","新宿区四谷４丁目１６番３号","Wholesale Trade","81230"
"E02652","内国法人・組合","Listed company","Consolidated","54961"," 3.31","東京エレクトロン株式会社","Tokyo Electron Limited","トウキョウエレクトロンカブシキガイシャ","港区赤坂五丁目３番１号","Electric Appliances","80350"
"E02653","内国法人・組合","Listed company","NonConsolidated","3887"," 3.31","株式会社光製作所","HIKARI FURNITURE CO., LTD.","カブシキガイシャヒカリセイサクショ","荒川区東尾久四丁目７番１号","Wholesale Trade","81910"
"E02655","内国法人・組合","Listed company","Consolidated","10000"," 3.31","株式会社サンリオ","Sanrio Company, Ltd.","カブシキガイシャサンリオ","品川区大崎１丁目６番１号","Wholesale Trade","81360"
"E02656","内国法人・組合","Listed company","Consolidated","2553"," 3.31","サンワテクノス株式会社","sun-wa technos corporation","サンワテクノスカブシキガイシャ","中央区京橋三丁目１番１号","Wholesale Trade","81370"
"E02658","内国法人・組合","Listed company","Consolidated","1716"," 3.31","三京化成株式会社","SANKYOKASEI CORPORATION","サンキョウカセイカブシキガイシャ","大阪市中央区北久宝寺町一丁目９番８号","Wholesale Trade","81380"
"E02660","内国法人・組合","Listed company","Consolidated","5323"," 3.31","株式会社ナガホリ","NAGAHORI CORPORATION","カブシキガイシャナガホリ","台東区上野１－１５－３","Wholesale Trade","81390"
"E02663","内国法人・組合","Listed company","Consolidated","17690"," 3.31","株式会社リョーサン","Ryosan Company, Limited","カブシキガイシャ　リョーサン","千代田区東神田２丁目３番５号","Wholesale Trade","81400"
"E02664","内国法人・組合","Listed company","Consolidated","9501"," 3.31","新光商事株式会社","Shinko Shoji Co.,Ltd.","シンコウショウジカブシキガイシャ","品川区大崎一丁目２番２号","Wholesale Trade","81410"
"E02665","内国法人・組合","Listed company","Consolidated","5344"," 1.31","株式会社トーホー","TOHO Co.,Ltd.","カブシキガイシャトーホー","神戸市東灘区向洋町西５丁目９番","Wholesale Trade","81420"
"E02666","内国法人・組合","Listed company","Consolidated","2644"," 3.31","株式会社電響社","DENKYOSHA CO.,LTD","カブシキガイシャデンキョウシャ","大阪市浪速区日本橋東２丁目１番３号","Wholesale Trade","81440"
"E02668","内国法人・組合","Listed company","Consolidated","397"," 3.31","株式会社トミタ","TOMITA CO.LTD.","カブシキガイシャトミタ","中央区銀座８丁目３番１０号","Wholesale Trade","81470"
"E02669","内国法人・組合","Listed company","Consolidated","5549"," 3.31","上原成商事株式会社","UEHARA SEI SHOJI CO.,LTD.","ウエハラセイショウジカブシキガイシャ","京都市中京区御池通烏丸東入仲保利町１９１番地","Wholesale Trade","81480"
"E02671","内国法人・組合","Listed company","Consolidated","14811"," 3.31","三信電気株式会社","SANSHIN ELECTRONICS CO., LTD.","サンシンデンキカブシキガイシャ","港区芝四丁目４番１２号","Wholesale Trade","81500"
"E02672","内国法人・組合","Listed company","Consolidated","4158"," 9.30","株式会社東陽テクニカ","TOYO Corporation","カブシキガイシャトウヨウテクニカ","中央区八重洲一丁目１番６号","Wholesale Trade","81510"
"E02673","内国法人・組合","Listed company","Consolidated","5115"," 3.31","ソマール株式会社","SOMAR CORPORATION","ソマールカブシキガイシャ","中央区銀座４－１１－２","Wholesale Trade","81520"
"E02674","内国法人・組合","Unlisted company","Consolidated","525"," 3.31","日本アルコール販売株式会社","JAPAN ALCOHOL TRADING CO.,LTD.","ニホンアルコールハンバイカブシキガイシャ","中央区日本橋小舟町６－６","Wholesale Trade",""
"E02675","内国法人・組合","Listed company","Consolidated","11412"," 3.31","株式会社モスフードサービス","MOS FOOD SERVICES,INC.","カブシキガイシャモスフードサービス","品川区大崎二丁目１番１号","Wholesale Trade","81530"
"E02676","内国法人・組合","Listed company","Consolidated","12133"," 3.31","加賀電子株式会社","KAGA ELECTRONICS CO.,LTD.","カガデンシカブシキガイシャ","千代田区神田松永町２０番地","Wholesale Trade","81540"
"E02677","内国法人・組合","Listed company","NonConsolidated","18824"," 5.31","三益半導体工業株式会社","MIMASU SEMICONDUCTOR INDUSTRY CO., LTD.","ミマスハンドウタイコウギョウカブシキガイシャ","高崎市保渡田町２１７４番地１","Metal Products","81550"
"E02678","内国法人・組合","Listed company","Consolidated","5874"," 3.31","株式会社立花エレテック","TACHIBANA ELETECH CO.,LTD.","カブシキガイシャ　タチバナエレテック","大阪市西区西本町１丁目１３番２５号","Wholesale Trade","81590"
"E02679","内国法人・組合","Listed company","NonConsolidated","4049","12.31","株式会社東京ソワール","TOKYO SOIR CO.,LTD.","カブシキガイシャトウキョウソワール","港区南青山一丁目１番１号","Textiles & Apparels","80400"
"E02681","内国法人・組合","Listed company","Consolidated","3379","10.31","正栄食品工業株式会社","SHOEI FOODS CORPORATION","ショウエイショクヒンコウギョウカブシキガイシャ","中央区日本橋茅場町一丁目８番１号","Wholesale Trade","80790"
"E02682","内国法人・組合","Listed company","Consolidated","8132"," 3.31","カメイ株式会社","KAMEI CORPORATION","カメイカブシキガイシャ","仙台市青葉区国分町３丁目１番１８号","Wholesale Trade","80370"
"E02683","内国法人・組合","Listed company","Consolidated","3654"," 3.31","大興電子通信株式会社","DAIKO DENSHI TSUSHIN,LTD.","ダイコウデンシツウシンカブシキガイシャ","新宿区揚場町２番１号","Wholesale Trade","80230"
"E02684","内国法人・組合","Listed company","Consolidated","3075"," 3.31","東海エレクトロニクス株式会社","TOKAI ELECTRONICS CO.,LTD.","トウカイエレクトロニクスカブシキガイシャ","名古屋市中区栄三丁目３４番１４号","Wholesale Trade","80710"
"E02685","内国法人・組合","Listed company","Consolidated","13672"," 1.31","菱洋エレクトロ株式会社","RYOYO ELECTRO CORPORATION","リョーヨーエレクトロカブシキガイシャ","中央区築地一丁目１２番２２号","Wholesale Trade","80680"
"E02686","内国法人・組合","Listed company","Consolidated","4603"," 3.31","コニシ株式会社","KONISHI CO.,LTD.","コニシカブシキガイシャ","大阪市中央区道修町１丁目６番１０号","Chemicals","49560"
"E02687","内国法人・組合","Listed company","Consolidated","7609"," 3.31","株式会社ＭＡＧねっとホールディングス","MAG NET HOLDINGS,INC.","カブシキガイシャマグネットホールディングス","港区南青山二丁目２番８号","Other Financing Business","80730"
"E02688","内国法人・組合","Listed company","Consolidated","84397"," 3.31","ニプロ株式会社","NIPRO CORPORATION","ニプロカブシキガイシャ","大阪市北区本庄西３丁目９番３号","Precision Instruments","80860"
"E02690","内国法人・組合","Listed company","Consolidated","1387"," 3.31","株式会社ファミリー","FAMILY INC.","カブシキガイシャファミリー","千葉市中央区東千葉２－８－１５","Retail Trade","82980"
"E02691","内国法人・組合","Listed company","NonConsolidated","15869"," 3.31","株式会社ＰＡＬＴＡＣ","PALTAC CORPORATION","カブシキガイシャパルタック","大阪市中央区本町橋２番４６号","Wholesale Trade","82830"
"E02692","内国法人・組合","Listed company","Consolidated","3832"," 3.31","三谷産業株式会社","MITANI SANGYO CO.,LTD.","ミタニサンギョウカブシキガイシャ","金沢市玉川町１番５号","Wholesale Trade","82850"
"E02693","内国法人・組合","Listed company","Consolidated","4150"," 3.31","株式会社フォーバル","FORVAL CORPORATION","カブシキガイシャフォーバル","渋谷区神宮前五丁目５２番２号","Wholesale Trade","82750"
"E02695","内国法人・組合","Listed company","Consolidated","1861"," 3.20","株式会社プロルート丸光","MARUMITSU CO.,LTD.","カブシキガイシャプロルートマルミツ","大阪市中央区久太郎町二丁目１番５号","Wholesale Trade","82560"
"E02696","内国法人・組合","Listed company","Consolidated","5001"," 3.31","株式会社テクノアソシエ","TECHNO ASSOCIE Co., Ltd.","カブシキガイシャテクノアソシエ","大阪市西区土佐堀３丁目３番１７号","Wholesale Trade","82490"
"E02698","内国法人・組合","Listed company","Consolidated","3719"," 3.31","株式会社マルイチ産商","MARUICHI Co.,Ltd.","カブシキガイシャマルイチサンショウ","長野市市場３番地４８","Wholesale Trade","82280"
"E02699","内国法人・組合","Listed company","Consolidated","3426"," 3.31","株式会社　理経","RIKEI CORPORATION","カブシキガイシャ　リケイ","新宿区西新宿１丁目２６番２号","Wholesale Trade","82260"
"E02700","内国法人・組合（有価証券報告書等の提出義務者以外）","","","2533","","株式会社エルクコーポレーション","","カブシキガイシャエルクコーポレーション","大阪市中央区東高麗橋１番１５号","Others",""
"E02701","内国法人・組合","Listed company","NonConsolidated","5022","12.31","トラスコ中山株式会社","TRUSCO NAKAYAMA CORPORATION","トラスコナカヤマカブシキガイシャ","港区新橋四丁目２８番１号","Wholesale Trade","98300"
"E02702","内国法人・組合","Listed company","NonConsolidated","5213","11.30","リーバイ・ストラウス　ジャパン株式会社","LEVI STRAUSS JAPAN KABUSHIKI KAISHA","リーバイストラウス　ジャパン　カブシキガイシャ","港区南青山１丁目１－１　新青山ビル西館１９Ｆ","Wholesale Trade","98360"
"E02703","内国法人・組合","Listed company","Consolidated","3532","11.30","モリト株式会社","MORITO CO.,LTD.","モリトカブシキガイシャ","大阪市中央区南本町４丁目２番４号","Wholesale Trade","98370"
"E02706","内国法人・組合","Listed company","Consolidated","6462"," 2.20","アークランドサカモト株式会社","ARCLAND SAKAMOTO CO,.LTD.","アークランドサカモトカブシキガイシャ","三条市上須頃４４５番地","Retail Trade","98420"
"E02708","内国法人・組合","Listed company","Consolidated","2201"," 3.31","株式会社パーカーコーポレーション","PARKER  CORPORATION","カブシキガイシャ　パーカーコーポレーション","中央区日本橋人形町二丁目２２番１号","Chemicals","98450"
"E02711","内国法人・組合","Listed company","Consolidated","2381"," 3.31","株式会社共同紙販ホールディングス","KYODO PAPER HOLDINGS","カブシキガイシャキョウドウカミハンホールディングス","台東区北上野一丁目９番１２号住友不動産上野ビル６階","Wholesale Trade","98490"
"E02712","内国法人・組合","Listed company","Consolidated","1608"," 3.31","中央物産株式会社","chuo bussan corporation","チュウオウブッサンカブシキガイシャ","港区南青山２丁目２番３号","Wholesale Trade","98520"
"E02713","内国法人・組合","Listed company","Consolidated","1533"," 3.31","英和株式会社","EIWA CORPORATION","エイワカブシキガイシャ","大阪市西区北堀江４丁目１番７号","Wholesale Trade","98570"
"E02714","内国法人・組合","Listed company","Consolidated","6321"," 3.31","株式会社ケーユーホールディングス","KU HOLDINGS CO.,LTD.","カブシキガイシャケーユーホールディングス","町田市鶴間１６７０番地","Retail Trade","98560"
"E02718","内国法人・組合","Listed company","Consolidated","2293"," 3.31","ソレキア株式会社","Solekia Limited","ソレキアカブシキガイシャ","大田区西蒲田８丁目１６番６号","Wholesale Trade","98670"
"E02719","内国法人・組合","Listed company","Consolidated","5934"," 9.30","加藤産業株式会社","KATO SANGYO CO.,LTD.","カトウサンギョウカブシキガイシャ","西宮市松原町９番２０号","Wholesale Trade","98690"
